"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
5,30,242,"B06XMXF9J5",false,40,"INR",0,0,0,3627,4.1,"https://www.amazon.in/dp/B06XMXF9J5","14870.70",false,false,false,false,"Act II Cheese Bakes Combo, 55g (Buy 1 Get 1 Free)","https://m.media-amazon.com/images/I/71hStSkjhOL._AC_UL320_.jpg"
5,31,243,"B07RFMVXW2",true,567,"INR",1060,493,46.51,7620,4.4,"https://www.amazon.in/dp/B07RFMVXW2","33528.00",false,false,false,false,"Ariel Complete Detergent Washing Powder - 4Kg Value Pack","https://m.media-amazon.com/images/I/71Hgb2XtbrL._AC_UL320_.jpg"
5,33,245,"B00NBSEXWY",true,79,"INR",80,1,1.25,4551,4.5,"https://www.amazon.in/dp/B00NBSEXWY","20479.50",false,false,true,false,"Aashirvaad Atta with Multigrains, 1kg","https://m.media-amazon.com/images/I/91j3Eaf3BZL._AC_UL320_.jpg"
5,34,246,"B08QGS3SL1",false,58,"INR",0,0,0,1932,4.2,"https://www.amazon.in/dp/B08QGS3SL1","8114.40",false,false,false,false,"MAGGI 2-Minute Special Masala Instant Noodles, 280g(Pack of 4)","https://m.media-amazon.com/images/I/81dyU4tCFdS._AC_UL320_.jpg"
5,35,247,"B00BBXTISA",true,27,"INR",30,3,10,621,4.5,"https://www.amazon.in/dp/B00BBXTISA","2794.50",false,false,false,false,"Sunfeast Dark Fantasy Coffee Fills, 75 g","https://m.media-amazon.com/images/I/81vH1IraQJL._AC_UL320_.jpg"
5,36,248,"B07G8PYS42",true,225,"INR",275,50,18.18,710,4.4,"https://www.amazon.in/dp/B07G8PYS42","3124.00",false,false,false,false,"Pillsbury Chakki Fresh Atta| Made from Finest Quality of Wheat Grains | 100% Atta| 0% Maida | Upto 6 Hours of Softness, 5Kg","https://m.media-amazon.com/images/I/71uWsdpv0ZL._AC_UL320_.jpg"
5,37,249,"B08F7VNQ1Z",true,329,"INR",600,271,45.17,1112,4.1,"https://www.amazon.in/dp/B08F7VNQ1Z","4559.20",false,false,false,false,"UpCrop California Extra-Light Halves Walnut Kernels 200gm","https://m.media-amazon.com/images/I/61aGqcQxHMS._AC_UL320_.jpg"
5,38,250,"B07W7TN6H7",true,245,"INR",255,10,3.92,2,5,"https://www.amazon.in/dp/B07W7TN6H7","10.00",false,false,false,false,"Mother Dairy Buffalo Ghee, 500ml","https://m.media-amazon.com/images/I/71uK+UYP7yL._AC_UL320_.jpg"
5,39,251,"B01MQNBOLA",true,130,"INR",152,22,14.47,3101,4.4,"https://www.amazon.in/dp/B01MQNBOLA","13644.40",false,false,false,false,"Cinthol Bath Cool Soap, 100g (Pack of 5) (Buy 4 get 1 free)","https://m.media-amazon.com/images/I/61WXUIJRoCL._AC_UL320_.jpg"
5,40,252,"B09CTJP19W",true,211,"INR",263,52,19.77,4,4.7,"https://www.amazon.in/dp/B09CTJP19W","18.80",false,false,false,false,"Tata Sampann Unpolished Kabuli Chana, 1kg + Tata Sampann Garam Masala with Natural Oils, 100g","https://m.media-amazon.com/images/I/7133HpDdqCL._AC_UL320_.jpg"
5,41,253,"B084GLTVCB",true,519,"INR",775,256,33.03,2310,4.3,"https://www.amazon.in/dp/B084GLTVCB","9933.00",false,false,false,false,"Happilo 100% Natural Premium Whole Cashews 500g, Value Pack","https://m.media-amazon.com/images/I/71P2iOAIi9L._AC_UL320_.jpg"
5,44,256,"B01GCE6N08",false,0,"INR",0,0,0,5977,4.4,"https://www.amazon.in/dp/B01GCE6N08","26298.80",false,false,true,false,"Fortune Soya Chunks, 15x more protein than milk, 200g","https://m.media-amazon.com/images/I/81QjxW2Y3FL._AC_UL320_.jpg"
5,45,257,"B01CHUZ73U",true,269,"INR",325,56,17.23,20458,4.4,"https://www.amazon.in/dp/B01CHUZ73U","90015.20",false,false,false,false,"Aashirvaad Atta with Multigrains, 5kg","https://m.media-amazon.com/images/I/91DkpTfCKOL._AC_UL320_.jpg"
5,46,258,"B08JW5RDGC",true,179,"INR",230,51,22.17,724,4.3,"https://www.amazon.in/dp/B08JW5RDGC","3113.20",false,false,false,false,"Godrej Ezee 2-in-1 Liquid Detergent + Fabric Conditioner (Fabric Softener) - 1kg, For Regular Clothes","https://m.media-amazon.com/images/I/71ikMdZJ94L._AC_UL320_.jpg"
